"Country","event_clarity","date_prec","year","longtitude","latitude"
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2007,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2007,98.244408,15.833678
"Myanmar (Burma)",1,1,1994,98.244408,15.833678
"Myanmar (Burma)",2,2,2002,98.244408,15.833678
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2010,98.244408,15.833678
"Myanmar (Burma)",2,4,1994,99.024254,20.02271
"Myanmar (Burma)",1,1,2000,98.244408,15.833678
"Myanmar (Burma)",2,2,2007,98.244408,15.833678
"Myanmar (Burma)",1,1,1995,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2001,97.75,17.5
"Myanmar (Burma)",1,1,1996,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",2,3,1992,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2002,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2007,96.772247,18.327769
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2010,97.75,17.5
"Myanmar (Burma)",1,1,2003,97.75,17.5
"Myanmar (Burma)",2,4,2008,97.75,17.5
"Myanmar (Burma)",1,1,2007,97.75,17.5
"Myanmar (Burma)",1,1,2007,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2007,97.75,17.5
"Myanmar (Burma)",2,5,2011,97.75,17.5
"Myanmar (Burma)",1,1,1996,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",2,2,1990,97.75,17.5
"Myanmar (Burma)",1,1,1994,97.75,17.5
"Myanmar (Burma)",1,1,2005,97.75,17.5
"Myanmar (Burma)",1,1,2001,97.75,17.5
"Myanmar (Burma)",1,1,2010,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,2007,97.75,17.5
"Myanmar (Burma)",1,1,2006,98.0,22.0
"Myanmar (Burma)",2,4,1990,97.75,17.5
"Myanmar (Burma)",1,1,1990,97.75,17.5
"Myanmar (Burma)",1,1,2010,97.75,17.5
"Myanmar (Burma)",1,1,2000,97.75,17.5
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",2,4,1994,99.25,20.533333
"Myanmar (Burma)",1,1,2010,97.75,17.5
"Myanmar (Burma)",1,1,1997,98.294722,20.759722
"Myanmar (Burma)",2,4,1994,99.605689,21.280781
"Myanmar (Burma)",1,1,2003,99.605689,21.280781
"Myanmar (Burma)",1,1,1995,99.605689,21.280781
"Myanmar (Burma)",2,2,1992,92.320319,20.8614
"Myanmar (Burma)",1,1,2007,99.605689,21.280781
"Myanmar (Burma)",2,5,1995,99.605689,21.280781
"Myanmar (Burma)",1,1,2002,99.605689,21.280781
"Myanmar (Burma)",1,1,1999,99.605689,21.280781
"Myanmar (Burma)",1,1,1997,98.111969,21.102417
"Myanmar (Burma)",1,1,2001,99.605689,21.280781
